cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
338_924,0,0.0027995761429003927,LOW,0,0.45,RandomForest
338_1072,0,0.003913465031789283,LOW,0,0.45,RandomForest
338_1406,0,0.27796417748917757,MODERATE,0,0.45,RandomForest
338_1654,0,0.01424374308706734,LOW,0,0.45,RandomForest
339_465,1,0.9652554252625681,VERY_HIGH,1,0.45,RandomForest
339_466,1,0.9797985673057102,VERY_HIGH,1,0.45,RandomForest
339_467,1,0.9925952380952381,VERY_HIGH,1,0.45,RandomForest
339_490,1,0.976298446113785,VERY_HIGH,1,0.45,RandomForest
339_491,1,0.9865330447330446,VERY_HIGH,1,0.45,RandomForest
340_465,1,0.9350853397924822,VERY_HIGH,1,0.45,RandomForest
341_486,1,0.992222619047619,VERY_HIGH,1,0.45,RandomForest
342_465,1,0.8126013139200411,VERY_HIGH,1,0.45,RandomForest
342_468,1,0.9432338399189463,VERY_HIGH,1,0.45,RandomForest
343_359,1,0.9144244439290868,VERY_HIGH,1,0.45,RandomForest
345_474,1,0.9655630472701899,VERY_HIGH,1,0.45,RandomForest
346_836,0,0.0006884650317892824,LOW,0,0.45,RandomForest
348_1302,0,0.0005622024055266562,LOW,0,0.45,RandomForest
350_510,1,0.9357853517276015,VERY_HIGH,1,0.45,RandomForest
350_606,1,0.99317934662237,VERY_HIGH,1,0.45,RandomForest
351_413,1,0.9899768398268397,VERY_HIGH,1,0.45,RandomForest
351_482,1,0.9374376847902284,VERY_HIGH,1,0.45,RandomForest
351_510,1,0.9705715324672299,VERY_HIGH,1,0.45,RandomForest
353_512,1,0.953669416065114,VERY_HIGH,1,0.45,RandomForest
355_106,0,0.037802051204071103,LOW,0,0.45,RandomForest
355_852,0,0.001021798365122616,LOW,0,0.45,RandomForest
356_608,0,0.4653155844155846,MODERATE,1,0.45,RandomForest
358_530,1,0.9262548853486127,VERY_HIGH,1,0.45,RandomForest
358_1363,0,0.004244284729981863,LOW,0,0.45,RandomForest
360_264,0,0.5113533686619894,HIGH,1,0.45,RandomForest
360_519,0,0.8926428142779207,VERY_HIGH,1,0.45,RandomForest
360_1070,0,0.022280312073636323,LOW,0,0.45,RandomForest
363_189,0,0.15742800214855154,LOW,0,0.45,RandomForest
363_966,0,0.002221798365122616,LOW,0,0.45,RandomForest
364_545,0,0.7484782188399836,HIGH,1,0.45,RandomForest
367_468,1,0.06726950727867645,LOW,0,0.45,RandomForest
368_367,1,0.9950622222222223,VERY_HIGH,1,0.45,RandomForest
368_829,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
369_539,1,0.9612759655377305,VERY_HIGH,1,0.45,RandomForest
370_476,0,0.157538771470018,LOW,0,0.45,RandomForest
372_119,0,0.03464437153214485,LOW,0,0.45,RandomForest
372_368,1,0.9786853535353536,VERY_HIGH,1,0.45,RandomForest
373_448,1,0.8864971058971061,VERY_HIGH,1,0.45,RandomForest
373_717,0,0.0026884650317892823,LOW,0,0.45,RandomForest
376_613,1,0.9450858044733045,VERY_HIGH,1,0.45,RandomForest
376_614,1,0.983265003052503,VERY_HIGH,1,0.45,RandomForest
377_494,1,0.8505763748183722,VERY_HIGH,1,0.45,RandomForest
377_504,1,0.9399769094544529,VERY_HIGH,1,0.45,RandomForest
379_464,1,0.9913277777777778,VERY_HIGH,1,0.45,RandomForest
381_395,1,0.938739660024766,VERY_HIGH,1,0.45,RandomForest
381_468,1,0.9963905982905983,VERY_HIGH,1,0.45,RandomForest
