hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
652_3028,6,3028799.9256075635,652624.4430886009,75.0,VERY_HIGH
652_3029,1,3029295.8720027865,652452.1134711856,12.5,LOW
652_3032,3,3032765.925277202,652611.9643986129,37.5,MODERATE
652_3044,2,3044678.297024495,652222.8539659521,25.0,MODERATE
652_3067,2,3067684.674306304,652806.8541989385,25.0,MODERATE
652_3068,2,3068463.765875947,652831.3115740895,25.0,MODERATE
652_3069,3,3069611.5367904343,652275.039801338,37.5,MODERATE
652_3070,1,3070364.1350016315,652069.3058058164,12.5,LOW
653_3015,2,3015894.1892359853,653564.1708865097,25.0,MODERATE
653_3016,1,3016150.5526728374,653480.92998094,12.5,LOW
653_3018,1,3018846.9266342805,653021.0916566707,12.5,LOW
653_3065,2,3065407.29436585,653931.3508459057,25.0,MODERATE
653_3066,1,3066485.7072767816,653536.9211450826,12.5,LOW
653_3067,1,3067618.844455064,653078.8545534622,12.5,LOW
654_3008,2,3008242.981238201,654749.93650665,25.0,MODERATE
654_3016,2,3016581.387906111,654463.0126178882,25.0,MODERATE
654_3022,5,3022330.637922195,654239.4386503584,62.5,HIGH
