incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_56,3,81.10004750513113,78.61224638364077,58.96548684135765,CRITICAL,0,3006783.837756852,638929.3342061572,"506_420,506_422,507_422",CRITICAL_RISK_ZONE,90.25445008491134,87.41237046537522,94.50674719215534,28.57142857142857,84.58080628646684,P1_CRITICAL,39,Immediate review and prioritized assessment.
RISK_ZONE_ISOLATED_222,1,81.5371434211329,81.5371434211329,59.54161084537017,CRITICAL,0,3009550.5044235187,664496.000872824,762_449,CRITICAL_RISK_ZONE,91.52317345745531,96.34997899376803,96.4197233483654,0.0,84.56035469169986,P1_CRITICAL,40,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_124,5,81.26497764727685,74.73782995367097,57.84061324023989,CRITICAL,0,3028690.5044235187,669176.000872824,"806_645,808_640,808_641,809_637,813_639",CRITICAL_RISK_ZONE,90.73317962347888,75.57331531807536,90.77168952626847,57.14285714285714,84.3518019900334,P1_CRITICAL,41,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_71,7,78.61839389550491,75.21366172572972,58.004454708367945,CRITICAL,0,3013464.7901378046,649296.000872824,"604_485,608_488,609_488,610_488,611_489,612_489,616_490",CRITICAL_RISK_ZONE,83.05115254351276,77.0273145698504,91.31571272222023,85.71428571428571,84.17883831053445,P1_CRITICAL,42,Immediate review and prioritized assessment.
RISK_ZONE_ISOLATED_213,1,81.36352779998249,81.36352779998249,59.43106220413088,CRITICAL,0,3049050.5044235187,662696.000872824,744_844,CRITICAL_RISK_ZONE,91.01923327332565,95.81946170158105,96.05265495107712,0.0,84.13571105108204,P1_CRITICAL,43,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_80,6,80.39832170870115,73.04859498457309,58.38884937721093,CRITICAL,0,3040767.1710901856,651162.6675394906,"627_758,627_762,628_762,629_760,630_759,631_766",CRITICAL_RISK_ZONE,88.21760671380066,70.41151964706819,92.59206613042662,71.42857142857143,84.07110062608773,P1_CRITICAL,44,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_12,2,81.18857315142813,79.21592897634132,59.35881676735514,CRITICAL,0,3014300.5044235187,617296.000872824,"290_496,290_497",CRITICAL_RISK_ZONE,90.51140640139661,89.25704349823826,95.81276944555324,14.285714285714285,83.96330537023587,P1_CRITICAL,45,Immediate review and prioritized assessment.
RISK_ZONE_ISOLATED_143,1,81.40211139924729,81.40211139924729,59.07143519740894,CRITICAL,0,3004850.5044235187,643096.000872824,548_402,CRITICAL_RISK_ZONE,91.13122680241624,95.93736161444116,94.85854069061087,0.0,83.91115955662826,P1_CRITICAL,46,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_60,2,80.66750727864515,80.26632304885169,59.17696110906395,CRITICAL,0,3015850.5044235187,640696.000872824,"522_511,526_513",CRITICAL_RISK_ZONE,88.99895014812857,92.46673289937063,95.20893149441771,14.285714285714285,83.77367844870784,P1_CRITICAL,47,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_115,2,81.90644097218271,76.5565296035744,59.694273058048175,CRITICAL,0,3010050.5044235187,664196.000872824,"758_453,760_455",CRITICAL_RISK_ZONE,92.59510393606965,81.1307162430321,96.92662667260346,14.285714285714285,83.55416811656006,P1_CRITICAL,48,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_35,5,80.16856851143925,74.39093908140552,58.54078125222225,CRITICAL,0,3001550.5044235187,633016.000872824,"445_369,446_365,448_373,448_377,449_361",CRITICAL_RISK_ZONE,87.55072047530811,74.51332080249419,93.09654442371195,57.14285714285714,83.28891019460119,P1_CRITICAL,49,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_47,5,79.50980892347161,75.87925726342917,58.39512903257255,CRITICAL,0,3001950.5044235187,637696.000872824,"489_371,491_371,495_374,496_376,499_373",CRITICAL_RISK_ZONE,85.63859168264605,79.06117500252513,92.61291725083181,57.14285714285714,83.21711628468941,P1_CRITICAL,50,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_44,2,81.28218653178045,78.80080573826413,58.46130886449819,CRITICAL,0,3020950.5044235187,636046.000872824,"477_561,478_565",CRITICAL_RISK_ZONE,90.78313047679465,87.98855132726122,92.83266237447536,14.285714285714285,83.08685600220012,P1_CRITICAL,51,Immediate review and prioritized assessment.
