incident_id,priority_rank,priority_score,priority_level,max_risk_score,historical_hotspot_distance_m,hotspot_id,event_count,hotspot_score,hotspot_category,historical_current_score,historical_current_category,persistent_risk_zone
RISK_ZONE_ISOLATED_160,207,43.38156716626027,P3_MODERATE,68.94266377800926,36.0232132405512,647_3046,1,12.5,LOW,49.611870180945985,MODERATE,0
RISK_ZONE_ISOLATED_36,208,43.07138058901828,P3_MODERATE,68.80726237607401,23.723659426756573,619_3008,1,12.5,LOW,49.61309531730683,MODERATE,0
RISK_ZONE_ISOLATED_141,209,42.88721368167912,P3_MODERATE,68.72687057554697,43.035573347791555,642_3003,1,12.5,LOW,49.508731412618204,MODERATE,0
RISK_ZONE_ISOLATED_14,210,42.58592727462172,P3_MODERATE,68.59535424024216,65.47120375995159,614_3015,1,12.5,LOW,49.374874029682275,MODERATE,0
RISK_ZONE_ISOLATED_18,211,42.56067876567848,P3_MODERATE,68.5843328622764,45.521373663377645,616_3015,1,12.5,LOW,49.449073807010066,MODERATE,0
RISK_ZONE_ISOLATED_193,212,42.41320417628816,P3_MODERATE,68.51995784537263,3.1382831058638816,658_3009,1,12.5,LOW,49.594439987571405,MODERATE,0
RISK_ZONE_ISOLATED_19,213,42.24640976379912,P3_MODERATE,68.44714941669467,44.50961756640081,616_3004,1,12.5,LOW,49.405034726383434,MODERATE,0
RISK_ZONE_ISOLATED_177,214,42.20928157789251,P3_MODERATE,68.43094236973678,409.72635997045825,652_3068,2,25.0,MODERATE,53.68605317452104,STRONG,0
RISK_ZONE_ISOLATED_111,215,42.05296539351697,P3_MODERATE,68.36270785521391,267.69166671102494,637_3005,2,25.0,MODERATE,54.16059491909871,STRONG,0
RISK_ZONE_ISOLATED_235,216,41.877153465532686,P3_MODERATE,68.28596313680065,47.272480946301194,677_3029,1,12.5,LOW,49.337768180089455,MODERATE,0
RISK_ZONE_ISOLATED_7,217,41.55550660852708,P3_MODERATE,68.14555913945858,12.40916961750972,607_3017,1,12.5,LOW,49.42643190535275,MODERATE,0
RISK_ZONE_ISOLATED_179,218,41.39636021446762,P3_MODERATE,68.07608919314372,53.97878805201687,653_3066,1,12.5,LOW,49.23802213724711,MODERATE,0
RISK_ZONE_ISOLATED_52,219,41.1401853132528,P3_MODERATE,67.96426475163008,33.401316618771034,622_3012,1,12.5,LOW,49.27977399226441,MODERATE,0
RISK_ZONE_ISOLATED_234,220,40.73960204450863,P3_MODERATE,67.78940374809461,27.254927081786356,677_3028,1,12.5,LOW,49.242862646578985,MODERATE,0
RISK_ZONE_ISOLATED_118,221,40.68723775615,P3_MODERATE,67.7665458987378,478.2442395684073,637_3008,3,37.5,MODERATE,58.84731473106754,STRONG,0
RISK_ZONE_CLUSTER_122,222,40.59264526843664,P3_MODERATE,63.053493352074014,89.33312602586172,667_3016,1,12.5,LOW,47.342662430896596,MODERATE,0
RISK_ZONE_ISOLATED_161,223,40.38928122929445,P3_MODERATE,67.63648310939755,338.8553204791217,648_3004,2,25.0,MODERATE,53.653375931372835,STRONG,0
RISK_ZONE_ISOLATED_21,224,40.229329640471526,P3_MODERATE,67.56666168269055,43.864760262082335,616_3014,1,12.5,LOW,49.09939845493831,MODERATE,0
RISK_ZONE_ISOLATED_37,225,39.81590748731214,P3_MODERATE,67.38619630076913,53.432470384243125,619_3011,1,12.5,LOW,48.99869869672595,MODERATE,0
RISK_ZONE_ISOLATED_156,226,39.63942942363828,P3_MODERATE,67.30916080347352,11.63428991978411,645_3004,1,12.5,LOW,49.136777155518416,MODERATE,0
RISK_ZONE_ISOLATED_69,227,39.36300748347175,P3_MODERATE,67.18849820563644,68.92920846201667,628_3019,1,12.5,LOW,48.8690068394732,MODERATE,0
RISK_ZONE_ISOLATED_8,228,39.26259840222264,P3_MODERATE,67.14466803577852,27.639043419304027,608_3019,1,12.5,LOW,49.015685412565325,MODERATE,0
RISK_ZONE_ISOLATED_100,229,38.62742984439764,P3_MODERATE,66.86740680171937,30.229197567658712,634_2998,1,12.5,LOW,48.90840224062853,MODERATE,0
